Vyhodnocováno skriptem: FortyThree.py 
 
Vstupní parametry: 
Faktor šírky píku = 1 
Pocet iterací pri vyhlazování pozadí = 8  
Byl použit 4. typ vyhlazování pozadí. 
Spektrum nebylo vyhlazováno. 
 
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 2465.52
 
Energie (keV)                Plocha (-)                Reakce                   Intenzita(%)                 Isotop                    Polocas (s)
   216.588283                944.858450                   -                           -                         -                           -  
   218.370174                 28.202817                   -                           -                         -                           -  
   220.746029                  5.775939                  n,5n                       3.7700                     193Au            3.9000000000000004 
   223.715847                110.134811                  n,4n                       0.0332                     194Au                  136872.0 
   225.497738                441.581586                   -                           -                         -                           -  
   227.279629                222.513306                   -                           -                         -                           -  
   230.843411                225.890666                  n,5n                       0.5000                     193Au                   63540.0 
   233.219266                112.249607                   -                           -                         -                           -  
   235.001157                247.273641                   -                           -                         -                           -  
   238.564939                612.191730                  n,4n                       0.0600                     194Au                  136872.0 
   240.346830                132.293195                  n,4n                       0.0600                     194Au                  136872.0 
   242.128721                564.455311                   -                           -                         -                           -  
   246.286467                438.630558                   -                           -                         -                           -  
   249.256285                372.156819                  n,4n                       0.0320                     194Au                  136872.0 
   251.038176                465.124888                  n,4n                       0.0320                     194Au                  136872.0 
   254.601959                323.838655                  n,5n                       6.2000                     193Au                   63540.0 
   256.977813                537.907043                  n,5n                      65.8800                     193Au            3.9000000000000004 
   258.759704                 41.482073                  n,5n                      65.8800                     193Au            3.9000000000000004 
   260.541595                128.022079                   -                           -                         -                           -  
   263.511414               1416.040136                   -                           -                         -                           -  
   268.263123                124.255509                   n,p                       0.2300                     197Pt                   71609.4 
   269.451051                115.029614                   n,p                       0.2300                     197Pt                   71609.4 
   271.232942                 67.843205                   -                           -                         -                           -  
   274.202760                169.361373                   -                           -                         -                           -  
   275.390687                184.162124                   -                           -                         -                           -  
   278.360506                -42.355246                   n,p                       2.4000                     197Pt            5724.599999999999 
   281.330324               -676.229526                   -                           -                         -                           -  
   284.300143               -509.346667                   -                           -                         -                           -  
   285.488070               2740.660952                  n,2n                       4.4000                     196Au            34559.99999999999 
   287.863925               -466.001905                   -                           -                         -                           -  
   291.427707               -154.611746                  n,4n                       0.1920                     194Au                  136872.0 
   293.803562                215.768307                   n,a                       2.5000                     194Ir                   69408.0 
   294.991489                247.783880                   -                           -                         -                           -  
   297.367344                  3.066849                   -                           -                         -                           -  
   299.743198                152.604395                   n,a                       0.3500                     194Ir                   69408.0 
   302.713017                 63.498168                  n,5n                       0.2500                     193Au                   63540.0 
   305.088872                 56.971612                  n,4n                       0.0181                     194Au                  136872.0 
   307.464726                 53.865537                   -                           -                         -                           -  
   309.840581                 75.010735                   -                           -                         -                           -  
   312.810399                 52.124697                   -                           -                         -                           -  
   314.592291                 47.152677                   -                           -                         -                           -  
   316.374182               2594.417927                  n,2n                       3.0000                     196Au            34559.99999999999 
   319.937964                 18.176573                   -                           -                         -                           -  
   321.719855                 40.169969                   -                           -                         -                           -  
   324.095709                -16.912724                  n,5n                       0.3200                     193Au                   63540.0 
   325.877600                 62.417981                  n,2n                       0.0500                     196Au                 532820.16 
   328.253455               1789.758750                   n,a                      13.1000                     194Ir                   69408.0 
   331.817237                826.157553                   -                           -                         -                           -  
   333.005165              29321.603237                  n,2n                      22.9000                     196Au                 532820.16 
   335.974983                684.088356                   -                           -                         -                           -  
   338.350838                 65.326823                  n,4n                       0.0110                     194Au                  136872.0 
   340.132729                 52.568638                   -                           -                         -                           -  
   342.508584                 33.777054                   -                           -                         -                           -  
   344.290475                 45.314574                   -                           -                         -                           -  
   346.072366                165.122913                   n,p                      11.1000                     197Pt            5724.599999999999 
   348.448220                  5.275693                   -                           -                         -                           -  
   350.824075                 19.480787                   -                           -                         -                           -  
   352.012003                381.215818                   -                           -                         -                           -  
   354.387857               1801.183050                   -                           -                         -                           -  
   355.575785             109604.926809                  n,2n                      87.0000                     196Au                 532820.16 
   359.139567                -44.998180                   -                           -                         -                           -  
   360.921458                 28.889496                   -                           -                         -                           -  
   363.891276                 70.333593                   n,a                       0.0410                     194Ir                   69408.0 
   365.079204                114.932166                   n,a                       0.0410                     194Ir                   69408.0 
   366.861095                 75.088500                  n,4n                       0.0350                     194Au                  136872.0 
   369.830913                 34.728405                   -                           -                         -                           -  
   371.612804                 52.548357                   -                           -                         -                           -  
   374.582622                 76.599452                   -                           -                         -                           -  
   376.364514                 11.427019                  n,5n                       0.4700                     193Au                   63540.0 
   378.146405                 77.992532                   -                           -                         -                           -  
   379.928296                 81.441955                   -                           -                         -                           -  
   383.492078                 80.587463                   -                           -                         -                           -  
   386.461896                 35.973599                   -                           -                         -                           -  
   388.837751                  5.893390                   -                           -                         -                           -  
   390.619642                 27.186685                   -                           -                         -                           -  
   391.807569                 24.728895                   -                           -                         -                           -  
   393.589460                 36.687409                  n,2n                       0.0101                     196Au                 532820.16 
   395.371351                 -1.993086                   -                           -                         -                           -  
   398.341170                145.169630                  n,4n                       0.0140                     194Au                  136872.0 
   400.123061                565.112757                   -                           -                         -                           -  
   404.280807                -73.777449                   -                           -                         -                           -  
   406.062698                  2.323131                   -                           -                         -                           -  
   409.032516                240.043246                   n,p                       0.0035                     197Pt            5724.599999999999 
   410.814407               8145.850718                   -                           -                         -                           -  
   412.002334             116886.975048                  n,4n                       0.0150                     194Au                  136872.0 
   416.160080                -18.331402                   -                           -                         -                           -  
   417.941971               -154.277134                  n,4n                       0.0480                     194Au                  136872.0 
   419.723862               -238.092378                   -                           -                         -                           -  
   420.911790                532.969207                  n,4n                       0.0302                     194Au                  136872.0 
   422.693681                280.489736                   -                           -                         -                           -  
   425.069535              -1362.558977                  n,5n                       0.1400                     193Au                   63540.0 
   426.257463               3393.929425                  n,2n                       6.6000                     196Au                 532820.16 
   429.821245              -1204.025072                   -                           -                         -                           -  
   431.603136                118.084493                  n,2n                       0.0067                     196Au                 532820.16 
   433.385027                -28.829774                   -                           -                         -                           -  
   436.354845                -74.352780                  n,4n                       0.0133                     194Au                  136872.0 
   438.136737                 34.160184                  n,5n                       0.4600                     193Au                   63540.0 
   439.918628                 54.116269                  n,5n                       1.7800                     193Au                   63540.0 
   442.294482                 43.628909                   -                           -                         -                           -  
   444.670337                 19.987414                   -                           -                         -                           -  
   445.858264                 17.066035                   -                           -                         -                           -  
   448.828083                 13.188678                  n,4n                       0.1440                     194Au                  136872.0 
   451.797901                 14.674004                   -                           -                         -                           -  
   452.985829                 15.390791                   -                           -                         -                           -  
   455.361683                 19.685819                   -                           -                         -                           -  
   456.549611                 11.339718                   -                           -                         -                           -  
   458.925465                  2.812868                   -                           -                         -                           -  
   461.301320                 11.889598                   -                           -                         -                           -  
   463.083211                 48.119352                   -                           -                         -                           -  
   465.459066                 17.650895                   -                           -                         -                           -  
   469.022848                  9.067649                   -                           -                         -                           -  
   471.398703                 30.918390                   -                           -                         -                           -  
   473.774557                  8.322331                   -                           -                         -                           -  
   475.556449                -13.138697                   -                           -                         -                           -  
   478.526267                 17.226273                   -                           -                         -                           -  
   480.902122                 54.425518                   -                           -                         -                           -  
   483.277976                 45.858475                   n,a                       0.0460                     194Ir                   69408.0 
   486.247795                 83.326920                   -                           -                         -                           -  
   488.623650                 38.280571                  n,5n                       0.2200                     193Au                   63540.0 
   490.999504                 -8.988988                  n,5n                       0.6500                     193Au                   63540.0 
