Vyhodnocováno skriptem: FortyThree.py 
 
Vstupní parametry: 
Faktor šírky píku = 1 
Pocet iterací pri vyhlazování pozadí = 8  
Byl použit 4. typ vyhlazování pozadí. 
Spektrum nebylo vyhlazováno. 
 
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 2465.52
 
Energie (keV)                Plocha (-)                Reakce                   Intenzita(%)                 Isotop                    Polocas (s)
  1042.791765                  2.259618                   -                           -                         -                           -  
  1044.573656                  2.086539                   -                           -                         -                           -  
  1046.355548                  9.584402                   -                           -                         -                           -  
  1049.325366                 12.964744                   n,a                       0.0260                     194Ir                   69408.0 
  1050.513293                 17.988248                   -                           -                         -                           -  
  1053.483112                 12.107194                   -                           -                         -                           -  
  1055.858966                  8.225322                   -                           -                         -                           -  
  1057.640858                  8.630663                   -                           -                         -                           -  
  1059.422749                  8.876888                   -                           -                         -                           -  
  1060.610676                  6.209142                   -                           -                         -                           -  
  1063.580494                 10.060395                   -                           -                         -                           -  
  1064.768422                  6.131243                   -                           -                         -                           -  
  1066.550313                 10.488192                   -                           -                         -                           -  
  1070.114095                 14.525561                   -                           -                         -                           -  
  1071.895986                  7.855456                   -                           -                         -                           -  
  1073.677877                  9.896263                   -                           -                         -                           -  
  1076.053732                 22.108908                   -                           -                         -                           -  
  1079.023550                  7.977682                   -                           -                         -                           -  
  1081.399405                 11.419508                  n,4n                       0.0110                     194Au                  136872.0 
  1083.181296                 11.917614                   -                           -                         -                           -  
  1084.963187                  2.559930                   -                           -                         -                           -  
  1087.933005                116.218479                   -                           -                         -                           -  
  1092.090751                 88.386739                  n,2n                       0.1490                     196Au                 532820.16 
  1093.872642                 18.514565                   -                           -                         -                           -  
  1096.248497                  0.911184                   -                           -                         -                           -  
  1098.030388                  9.442617                   -                           -                         -                           -  
  1099.812279                 19.463502                   -                           -                         -                           -  
  1103.376061                 28.848945                   n,a                       0.0260                     194Ir                   69408.0 
  1104.563988                 25.624418                   n,a                       0.0260                     194Ir                   69408.0 
  1107.533807                 12.573108                   -                           -                         -                           -  
  1109.909662                  5.939750                   -                           -                         -                           -  
  1111.691553                  5.355131                   -                           -                         -                           -  
  1113.473444                 -2.747435                   -                           -                         -                           -  
  1115.255335                  3.965385                   -                           -                         -                           -  
  1117.631189                 -4.157122                   -                           -                         -                           -  
  1120.007044                  7.280959                  n,4n                       0.0600                     194Au                  136872.0 
  1121.194972                 77.253292                  n,4n                       0.0400                     194Au                  136872.0 
  1125.946681                 -9.748903                   -                           -                         -                           -  
  1128.916499                  5.553616                   -                           -                         -                           -  
  1131.292354                 16.903931                   -                           -                         -                           -  
  1133.668209                 26.207774                   -                           -                         -                           -  
  1136.638027                 19.359696                   -                           -                         -                           -  
  1139.607846                 15.652716                   -                           -                         -                           -  
  1141.389737                 12.491990                  n,4n                       0.0190                     194Au                  136872.0 
  1142.577664                  6.830663                   -                           -                         -                           -  
  1144.953519                  4.610221                   -                           -                         -                           -  
  1146.735410                 17.523428                   -                           -                         -                           -  
  1148.517301                  0.230032                   -                           -                         -                           -  
  1151.487119                 22.266556                   n,a                       0.6000                     194Ir                   69408.0 
  1154.456938                  0.758562                   -                           -                         -                           -  
  1155.644865                 27.363965                   n,a                       0.0018                     194Ir                   69408.0 
  1158.020720                  8.013128                   -                           -                         -                           -  
  1161.584502                  7.709052                   -                           -                         -                           -  
  1162.772429                  1.711011                   -                           -                         -                           -  
  1165.148284                 12.903670                   -                           -                         -                           -  
  1167.524139                 16.673002                   -                           -                         -                           -  
  1169.306030                  1.878186                   -                           -                         -                           -  
  1171.087921                  7.626062                   -                           -                         -                           -  
  1173.463776                  3.581905                   -                           -                         -                           -  
  1175.839630                 25.638413                   n,a                       0.0610                     194Ir                   69408.0 
  1178.809449                 11.537749                   -                           -                         -                           -  
  1180.591340                  8.398676                   -                           -                         -                           -  
  1183.561158                 48.085725                   n,a                       0.3100                     194Ir                   69408.0 
  1189.500795                 20.056954                   -                           -                         -                           -  
  1191.876650                  7.130096                   -                           -                         -                           -  
  1194.252505                  7.786815                  n,4n                       0.0302                     194Au                  136872.0 
  1196.034396                 14.884825                   -                           -                         -                           -  
  1199.004214                  7.309646                   -                           -                         -                           -  
  1201.380069                 27.241561                   -                           -                         -                           -  
  1203.161960                  4.969409                   -                           -                         -                           -  
  1206.131778                  5.006809                   -                           -                         -                           -  
  1209.101597                 16.193123                   -                           -                         -                           -  
  1210.883488                 18.974176                   -                           -                         -                           -  
  1213.853306                  3.765684                   -                           -                         -                           -  
  1216.823124                 16.255228                   -                           -                         -                           -  
  1219.198979                 29.407613                   n,a                       0.0560                     194Ir                   69408.0 
  1222.762761                  5.131110                   -                           -                         -                           -  
  1224.544652                  0.710370                   -                           -                         -                           -  
  1226.326543                  2.792346                   -                           -                         -                           -  
  1228.702398                 10.486337                   -                           -                         -                           -  
  1229.890325                 21.540462                   -                           -                         -                           -  
  1234.048071                 -6.153179                   -                           -                         -                           -  
  1235.829962                  1.351346                   -                           -                         -                           -  
  1238.799781                 64.108104                   -                           -                         -                           -  
  1242.957527                  3.954954                   -                           -                         -                           -  
  1244.145454                 -5.122790                   -                           -                         -                           -  
  1245.927345                 13.994995                   -                           -                         -                           -  
  1249.491127                 11.936232                   -                           -                         -                           -  
  1252.460945                  9.406851                   -                           -                         -                           -  
  1254.836800                  8.857839                   -                           -                         -                           -  
  1257.212655                  3.508169                   -                           -                         -                           -  
  1258.400582                  1.532982                   -                           -                         -                           -  
  1260.182473                 22.704611                   -                           -                         -                           -  
  1263.152292                 -7.755595                  n,4n                       0.0284                     194Au                  136872.0 
  1264.340219                 14.748135                   -                           -                         -                           -  
  1267.310037                 16.820274                   -                           -                         -                           -  
  1270.873820                 10.035448                   -                           -                         -                           -  
  1272.655711                  4.879561                   -                           -                         -                           -  
  1273.843638                 11.182076                   -                           -                         -                           -  
  1276.219493                 27.649461                   -                           -                         -                           -  
  1278.595347                  8.872082                   -                           -                         -                           -  
  1280.971202                 13.183273                   -                           -                         -                           -  
  1282.159130                 11.948750                   -                           -                         -                           -  
  1285.128948                 12.428591                   -                           -                         -                           -  
  1288.098766                 20.155073                   -                           -                         -                           -  
  1290.474621                  7.578349                   -                           -                         -                           -  
  1292.850476                 15.461675                   n,a                       0.0460                     194Ir                   69408.0 
  1295.226331                  2.027224                   -                           -                         -                           -  
  1297.008222                  3.453519                   -                           -                         -                           -  
  1298.790113                 15.670556                   -                           -                         -                           -  
  1301.759931                  6.279074                  n,4n                       0.2550                     194Au                  136872.0 
  1304.729750                 11.759691                   -                           -                         -                           -  
  1307.105604                  5.957652                   -                           -                         -                           -  
  1310.075423                 14.473299                   -                           -                         -                           -  
  1312.451277                 16.102211                   -                           -                         -                           -  
  1314.233168                 11.160324                   -                           -                         -                           -  
  1317.202987                  3.656981                  n,4n                       0.0710                     194Au                  136872.0 
  1319.578842                  9.218994                   -                           -                         -                           -  
  1321.360733                  3.850776                   -                           -                         -                           -  
  1322.548660                  9.531285                   -                           -                         -                           -  
  1324.924515                  7.687123                   -                           -                         -                           -  
  1326.706406                  3.340152                   -                           -                         -                           -  
  1328.488297                  5.446717                   -                           -                         -                           -  
  1330.270188                  1.926684                   -                           -                         -                           -  
  1332.052079                  3.531117                   -                           -                         -                           -  
  1335.021897                 10.822860                   -                           -                         -                           -  
  1336.209825                  1.718731                   -                           -                         -                           -  
  1338.585679                  2.461799                  n,4n                       0.2140                     194Au                  136872.0 
  1340.961534                 -0.837064                   -                           -                         -                           -  
  1342.743425                 17.609867                   n,a                       0.0380                     194Ir                   69408.0 
  1345.713244                 -3.156736                  n,4n                       0.0100                     194Au                  136872.0 
  1347.495135                  4.178874                  n,4n                       0.0100                     194Au                  136872.0 
  1349.277026                  7.170736                   -                           -                         -                           -  
  1352.246844                  5.883084                   -                           -                         -                           -  
  1355.216663                  7.786296                   -                           -                         -                           -  
  1356.998554                 10.656365                   -                           -                         -                           -  
  1359.968372                 -1.672789                   -                           -                         -                           -  
  1362.344227                 11.806900                   -                           -                         -                           -  
  1364.720081                  9.020095                   -                           -                         -                           -  
  1367.689900                 18.006698                   -                           -                         -                           -  
  1370.659718                  6.415562                   -                           -                         -                           -  
  1371.847646                  2.940003                   -                           -                         -                           -  
  1374.223500                  1.202223                   -                           -                         -                           -  
  1377.787282                 18.345186                   -                           -                         -                           -  
  1378.975210                 14.059506                   -                           -                         -                           -  
  1381.945028                  0.908724                   -                           -                         -                           -  
  1384.320883                 10.302908                   -                           -                         -                           -  
  1386.696738                  2.127914                   -                           -                         -                           -  
  1388.478629                  9.042638                  n,4n                       0.0160                     194Au                  136872.0 
  1390.854483                 -3.457917                   -                           -                         -                           -  
  1392.636375                  4.634367                   -                           -                         -                           -  
  1395.012229                  7.427526                   -                           -                         -                           -  
  1397.388084                 -1.262848                   -                           -                         -                           -  
  1399.169975                 -0.865394                   -                           -                         -                           -  
  1401.545830                  9.546698                   -                           -                         -                           -  
  1403.327721                  5.348290                   -                           -                         -                           -  
  1406.297539                  3.292124                   -                           -                         -                           -  
  1408.673394                 18.264041                   -                           -                         -                           -  
  1409.861321                 12.310236                   -                           -                         -                           -  
  1412.237176                  6.436745                   -                           -                         -                           -  
  1414.613031                  7.867804                   -                           -                         -                           -  
  1417.582849                  6.741373                   -                           -                         -                           -  
  1422.334559                  6.640484                   n,a                       0.0006                     194Ir                   69408.0 
  1424.116450                  7.871647                   -                           -                         -                           -  
  1426.492304                 -5.971548                   -                           -                         -                           -  
  1428.274195                  7.559813                   -                           -                         -                           -  
  1430.650050                  4.151309                   n,a                       0.0022                     194Ir                   69408.0 
  1432.431941                 10.802942                   n,a                       0.0011                     194Ir                   69408.0 
  1434.807796                 10.732281                   -                           -                         -                           -  
  1438.371578                  7.845110                   -                           -                         -                           -  
  1440.153469                 11.171714                   -                           -                         -                           -  
  1443.123288                  4.353160                   -                           -                         -                           -  
  1444.905179                  8.889450                   -                           -                         -                           -  
  1447.874997                  7.627800                   -                           -                         -                           -  
  1449.656888                  4.506907                   n,a                       0.0016                     194Ir                   69408.0 
  1451.438779                  1.526770                   -                           -                         -                           -  
  1454.408598                  4.908175                   -                           -                         -                           -  
  1455.596525                -24.808386                   -                           -                         -                           -  
  1457.972380                -86.380573                   -                           -                         -                           -  
  1459.754271                -70.126858                   -                           -                         -                           -  
  1461.536162               1076.282049                   -                           -                         -                           -  
  1466.881835                -90.754836                   -                           -                         -                           -  
  1469.257690                -29.088169                   n,a                       0.1900                     194Ir                   69408.0 
  1474.009399                 -7.679262                  n,4n                       0.0210                     194Au                  136872.0 
  1476.979217                  1.589327                   -                           -                         -                           -  
  1479.355072                 -0.223622                   -                           -                         -                           -  
  1480.543000                  1.509925                   -                           -                         -                           -  
  1482.918854                  3.836642                   -                           -                         -                           -  
  1485.294709                 11.596656                   -                           -                         -                           -  
  1487.670564                  4.643330                   n,a                       0.0170                     194Ir                   69408.0 
  1488.858491                  6.492221                  n,4n                       0.0170                     194Au                  136872.0 
  1491.234346                  2.516502                   n,a                       0.0015                     194Ir                   69408.0 
  1493.016237                  6.554691                   n,a                       0.0015                     194Ir                   69408.0 
  1495.986055                 12.939913                   -                           -                         -                           -  
  1498.955874                  4.024595                   -                           -                         -                           -  
  1501.331728                  6.935946                  n,4n                       0.0326                     194Au                  136872.0 
  1504.895511                  1.582372                   -                           -                         -                           -  
  1506.083438                  3.178068                   -                           -                         -                           -  
  1510.241184                 16.202152                  n,4n                       0.0240                     194Au                  136872.0 
  1513.804966                  7.935150                   -                           -                         -                           -  
  1514.992893                 11.757921                   -                           -                         -                           -  
  1518.556675                  4.401375                   n,a                       0.0017                     194Ir                   69408.0 
  1520.932530                  8.121837                   -                           -                         -                           -  
  1525.684239                  2.859412                   -                           -                         -                           -  
  1528.060094                  4.219234                   -                           -                         -                           -  
  1529.841985                  0.643258                   -                           -                         -                           -  
  1532.811804                  7.728063                   -                           -                         -                           -  
  1533.999731                 -0.706305                   -                           -                         -                           -  
  1536.375586                 -0.235435                  n,4n                       0.0097                     194Au                  136872.0 
  1537.563513                  5.032633                   -                           -                         -                           -  
  1539.345404                  9.371128                   -                           -                         -                           -  
  1542.909186                 10.123709                   -                           -                         -                           -  
  1544.691077                  6.704912                   -                           -                         -                           -  
  1545.879005                  0.457193                   -                           -                         -                           -  
  1548.848823                  9.529273                   -                           -                         -                           -  
  1550.630714                 12.746494                   -                           -                         -                           -  
  1554.194496                  5.021771                   -                           -                         -                           -  
  1555.382424                  1.173924                   -                           -                         -                           -  
  1558.352242                  1.940153                   -                           -                         -                           -  
  1559.540169                 12.926732                   -                           -                         -                           -  
  1563.103951                  8.717809                  n,4n                       0.2830                     194Au                  136872.0 
  1565.479806                  8.306674                   n,a                       0.0210                     194Ir                   69408.0 
  1568.449625                  1.270866                   -                           -                         -                           -  
  1569.637552                  5.921647                   -                           -                         -                           -  
  1573.201334                  6.622689                   -                           -                         -                           -  
  1575.577189                  6.314486                   -                           -                         -                           -  
  1577.359080                  0.180299                   -                           -                         -                           -  
  1579.140971                  2.060100                   -                           -                         -                           -  
  1581.516826                  8.073376                   -                           -                         -                           -  
  1585.080608                  0.264462                   -                           -                         -                           -  
  1586.268535                 -5.479256                   -                           -                         -                           -  
  1589.238353                 20.508890                   -                           -                         -                           -  
  1590.426281                 -3.682880                   -                           -                         -                           -  
  1592.802136                  9.994595                  n,4n                       1.1200                     194Au                  136872.0 
  1593.990063                 11.092922                  n,4n                       0.7200                     194Au                  136872.0 
  1596.365918                  6.142085                   n,a                       0.0016                     194Ir                   69408.0 
  1599.335736                  2.682054                   -                           -                         -                           -  
  1604.087446                  2.407341                   -                           -                         -                           -  
  1605.275373                  3.024669                   -                           -                         -                           -  
  1607.651228                 -0.102888                   -                           -                         -                           -  
  1609.433119                  6.632371                   -                           -                         -                           -  
  1611.215010                 10.918543                   -                           -                         -                           -  
  1613.590864                  0.861737                   -                           -                         -                           -  
  1616.560683                  0.509468                   -                           -                         -                           -  
  1620.124465                 -2.700012                   -                           -                         -                           -  
  1621.312392                  8.485709                   n,a                       0.0640                     194Ir                   69408.0 
  1623.688247                  2.737036                   -                           -                         -                           -  
  1626.658065                  2.887301                   -                           -                         -                           -  
  1628.439957                 -1.769959                   -                           -                         -                           -  
  1630.221848                  2.521125                   -                           -                         -                           -  
  1631.409775                 10.699530                   -                           -                         -                           -  
  1633.785630                  2.788732                  n,4n                       0.2600                     194Au                  136872.0 
  1636.755448                 -0.042427                   -                           -                         -                           -  
  1639.131303                  4.735640                   -                           -                         -                           -  
  1642.101121                  4.773064                   -                           -                         -                           -  
  1643.883012                  2.881129                   -                           -                         -                           -  
  1646.852831                  3.974785                   -                           -                         -                           -  
  1649.228685                  0.989194                   -                           -                         -                           -  
  1650.416613                  2.997198                   -                           -                         -                           -  
  1652.198504                  8.331332                   -                           -                         -                           -  
  1656.356250                  2.832933                   -                           -                         -                           -  
  1659.920032                 11.993634                   -                           -                         -                           -  
  1662.889850                  9.036993                   -                           -                         -                           -  
  1664.671741                  2.512331                  n,4n                       0.0270                     194Au                  136872.0 
  1667.641560                  6.892999                   -                           -                         -                           -  
  1670.611378                  2.519889                   n,a                       0.0058                     194Ir                   69408.0 
  1672.393269                  4.505156                   -                           -                         -                           -  
  1673.581196                  4.168877                   -                           -                         -                           -  
  1676.551015                  6.334070                  n,4n                       0.0800                     194Au                  136872.0 
  1679.520833                  4.666912                   -                           -                         -                           -  
  1681.302724                  1.450681                   -                           -                         -                           -  
  1683.678579                  5.407435                   -                           -                         -                           -  
  1686.054434                  6.302478                   -                           -                         -                           -  
  1688.430288                 -0.232507                   -                           -                         -                           -  
  1689.618216                  6.755831                  n,4n                       0.1230                     194Au                  136872.0 
  1691.994071                 -0.489229                   -                           -                         -                           -  
  1694.369925                  2.503590                   -                           -                         -                           -  
  1696.151816                  8.962198                   -                           -                         -                           -  
  1698.527671                  3.315214                   -                           -                         -                           -  
  1700.309562                  3.327293                   -                           -                         -                           -  
  1703.279381                  3.140269                   -                           -                         -                           -  
  1704.467308                  6.279369                   -                           -                         -                           -  
  1708.625054                  5.337327                   -                           -                         -                           -  
  1711.594872                  3.782973                   -                           -                         -                           -  
  1713.376763                  4.882005                   -                           -                         -                           -  
  1716.346582                 15.895210                   -                           -                         -                           -  
  1720.504327                  6.466170                   -                           -                         -                           -  
  1722.286218                  6.155390                   -                           -                         -                           -  
  1724.662073                  0.447103                   n,a                       0.0008                     194Ir                   69408.0 
  1727.037928                  1.620187                   -                           -                         -                           -  
  1730.007746                 16.373396                   -                           -                         -                           -  
  1731.195674                  7.791132                   -                           -                         -                           -  
  1733.571528                 -1.680813                   -                           -                         -                           -  
  1737.135310                 -4.967705                   -                           -                         -                           -  
  1742.480984                 -1.492299                   -                           -                         -                           -  
  1743.668911                  7.169234                  n,4n                       0.0248                     194Au                  136872.0 
  1746.044766                  1.278633                   -                           -                         -                           -  
  1747.232693                  2.857510                   -                           -                         -                           -  
  1750.202511                  0.179107                   -                           -                         -                           -  
  1751.390439                 -0.051409                   -                           -                         -                           -  
  1753.172330                  2.858920                   -                           -                         -                           -  
  1755.548185                  6.397418                   -                           -                         -                           -  
  1757.924039                  1.985750                   n,a                       0.0004                     194Ir                   69408.0 
  1760.299894                 -2.338083                   -                           -                         -                           -  
  1761.487821                 -8.223806                   -                           -                         -                           -  
  1763.863676                 -5.852380                   -                           -                         -                           -  
  1765.051604                 88.972336                   -                           -                         -                           -  
  1768.615386                -15.288435                   -                           -                         -                           -  
  1771.585204                 -3.216755                   -                           -                         -                           -  
  1773.367095                  1.261082                   -                           -                         -                           -  
  1775.148986                 10.424582                  n,4n                       0.0200                     194Au                  136872.0 
  1778.712768                  1.918250                  n,4n                       0.0400                     194Au                  136872.0 
  1781.088623                  3.139417                   n,a                       0.0052                     194Ir                   69408.0 
  1783.464478                  4.217293                   -                           -                         -                           -  
  1787.622223                  7.256231                   -                           -                         -                           -  
  1789.404115                  7.140966                   -                           -                         -                           -  
  1792.373933                  7.713655                   -                           -                         -                           -  
  1794.155824                  1.814651                   -                           -                         -                           -  
  1797.125642                  9.917006                   n,a                       0.0176                     194Ir                   69408.0 
  1800.095461                  4.686028                   -                           -                         -                           -  
  1804.253207                  5.237206                   -                           -                         -                           -  
  1805.441134                 -0.327391                   n,a                       0.0320                     194Ir                   69408.0 
  1807.816989                  5.432816                   -                           -                         -                           -  
  1812.568698                  4.588716                   n,a                       0.0004                     194Ir                   69408.0 
  1815.538517                  0.987874                  n,4n                       0.0085                     194Au                  136872.0 
  1817.914371                  4.828137                   -                           -                         -                           -  
  1820.290226                  2.480134                   -                           -                         -                           -  
  1822.666081                  7.610534                   -                           -                         -                           -  
  1823.854008                  4.259067                   -                           -                         -                           -  
  1827.417790                  1.864133                   -                           -                         -                           -  
  1829.793645                  3.413783                   n,a                       0.0019                     194Ir                   69408.0 
  1832.169500                  2.521941                   -                           -                         -                           -  
  1833.951391                  0.413096                   -                           -                         -                           -  
  1836.327245                  5.089399                   -                           -                         -                           -  
  1839.891028                  6.161848                   -                           -                         -                           -  
  1844.048773                  4.269193                   -                           -                         -                           -  
  1847.018592                  3.088568                   -                           -                         -                           -  
  1848.206519                  9.733614                   -                           -                         -                           -  
  1852.364265                  4.306137                   -                           -                         -                           -  
  1853.552192                  2.824268                   -                           -                         -                           -  
  1856.522011                  6.472958                  n,4n                       0.0350                     194Au                  136872.0 
  1857.709938                  1.935431                   -                           -                         -                           -  
  1860.085793                  1.200699                   -                           -                         -                           -  
  1861.273720                  7.200366                   -                           -                         -                           -  
  1865.431466                  2.177900                   -                           -                         -                           -  
  1867.213357                  3.007433                   -                           -                         -                           -  
  1868.995248                  5.446922                   -                           -                         -                           -  
  1871.371103                  2.429633                   -                           -                         -                           -  
  1873.152994                  3.827436                   -                           -                         -                           -  
  1874.934885                  4.973663                   -                           -                         -                           -  
  1877.904703                  1.054900                   -                           -                         -                           -  
  1879.092631                  2.684967                   -                           -                         -                           -  
  1882.062449                  3.412605                   -                           -                         -                           -  
  1884.438304                  2.939703                   -                           -                         -                           -  
  1887.408122                 10.786586                  n,4n                       2.2300                     194Au                  136872.0 
  1889.190013                  8.373306                   -                           -                         -                           -  
  1892.753795                  3.133569                   -                           -                         -                           -  
  1895.129650                  2.272835                   -                           -                         -                           -  
  1898.099468                  4.682523                   -                           -                         -                           -  
  1902.851178                  2.862633                   -                           -                         -                           -  
  1904.039105                  1.902658                   -                           -                         -                           -  
  1905.820996                  4.910663                   -                           -                         -                           -  
  1909.978742                  3.284146                   -                           -                         -                           -  
  1912.354597                  3.027111                   -                           -                         -                           -  
  1914.136488                  4.488510                   -                           -                         -                           -  
  1915.918379                  1.051726                   -                           -                         -                           -  
  1918.294234                  2.572797                   -                           -                         -                           -  
  1920.076125                  1.531199                   -                           -                         -                           -  
  1922.451979                  7.343733                   -                           -                         -                           -  
  1924.827834                  8.650844                   n,a                       0.0018                     194Ir                   69408.0 
  1926.015762                  6.216948                   -                           -                         -                           -  
  1927.797653                 -2.816573                   -                           -                         -                           -  
  1930.767471                  9.445287                   -                           -                         -                           -  
  1932.549362                 -1.461101                   -                           -                         -                           -  
  1934.331253                  2.207147                   -                           -                         -                           -  
  1937.895035                  3.124605                   -                           -                         -                           -  
  1939.082963                  2.541535                   -                           -                         -                           -  
  1942.646745                  7.757623                   -                           -                         -                           -  
  1946.804490                  1.666141                   -                           -                         -                           -  
  1948.586381                  4.333158                   -                           -                         -                           -  
  1952.150164                  5.857051                   -                           -                         -                           -  
  1953.932055                  5.142832                   -                           -                         -                           -  
  1956.901873                  7.428561                   -                           -                         -                           -  
  1959.277728                  1.238092                  n,4n                       0.1740                     194Au                  136872.0 
  1961.059619                  2.037036                   -                           -                         -                           -  
  1962.841510                  2.559083                   -                           -                         -                           -  
  1966.405292                  2.576719                   -                           -                         -                           -  
  1968.187183                  3.174211                   -                           -                         -                           -  
  1970.563038                  6.027043                  n,4n                       0.4830                     194Au                  136872.0 
  1972.344929                  0.723061                   -                           -                         -                           -  
  1976.502675                  0.860307                   -                           -                         -                           -  
  1978.878529                  4.698532                   -                           -                         -                           -  
  1981.254384                  5.821624                   -                           -                         -                           -  
  1984.224202                  3.470135                  n,4n                       0.0420                     194Au                  136872.0 
  1986.600057                  4.293785                   -                           -                         -                           -  
  1989.569876                  1.792574                   -                           -                         -                           -  
  1990.757803                  2.875303                   -                           -                         -                           -  
  1993.727621                  1.492362                   -                           -                         -                           -  
  1994.915549                  6.511872                   -                           -                         -                           -  
  1999.667258                 10.580435                   -                           -                         -                           -  
  2002.043113                  4.672557                   -                           -                         -                           -  
  2003.231040                  3.224186                   -                           -                         -                           -  
  2005.012931                  4.596080                   -                           -                         -                           -  
  2007.388786                 -0.493609                   -                           -                         -                           -  
  2010.358604                  4.621787                   -                           -                         -                           -  
  2012.140496                  4.315525                   -                           -                         -                           -  
  2014.516350                  5.920939                   -                           -                         -                           -  
  2016.298241                  0.405429                   -                           -                         -                           -  
  2017.486169                  3.435660                   -                           -                         -                           -  
  2020.455987                  2.896899                   -                           -                         -                           -  
  2021.643914                  3.491731                   -                           -                         -                           -  
  2026.395624                 -0.681395                   -                           -                         -                           -  
  2027.583551                  2.383979                   -                           -                         -                           -  
  2030.553370                  1.183549                   -                           -                         -                           -  
  2033.523188                  4.606894                   -                           -                         -                           -  
  2035.899043                  5.515472                   -                           -                         -                           -  
  2040.650752                  1.494999                   -                           -                         -                           -  
  2042.432643                  2.165000                   -                           -                         -                           -  
  2044.808498                 29.149286                   -                           -                         -                           -  
  2049.560208                  0.690238                   -                           -                         -                           -  
  2051.936062                  2.006111                   -                           -                         -                           -  
  2054.311917                  4.336534                   -                           -                         -                           -  
  2056.687772                  1.000679                   -                           -                         -                           -  
  2057.875699                  2.000226                   -                           -                         -                           -  
  2059.657590                  3.111187                   -                           -                         -                           -  
  2062.033445                  1.481507                   -                           -                         -                           -  
  2063.815336                  5.827169                  n,4n                       0.0079                     194Au                  136872.0 
  2065.003263                  1.893009                   -                           -                         -                           -  
  2068.567045                  3.975310                  n,4n                       0.0180                     194Au                  136872.0 
  2071.536864                  1.882488                   -                           -                         -                           -  
  2072.724791                  2.163923                   -                           -                         -                           -  
  2075.694610                  1.690647                   -                           -                         -                           -  
  2076.882537                  1.795991                   -                           -                         -                           -  
  2079.258392                  1.669331                   -                           -                         -                           -  
  2082.228210                  1.810666                   -                           -                         -                           -  
  2085.198029                  3.947555                   -                           -                         -                           -  
  2087.573883                  0.682667                   -                           -                         -                           -  
  2088.761811                  5.134716                   -                           -                         -                           -  
  2094.107484                 -0.461185                   -                           -                         -                           -  
  2097.077302                  1.950787                   -                           -                         -                           -  
  2100.047121                 -0.568662                   -                           -                         -                           -  
  2103.016939                  6.803907                   -                           -                         -                           -  
  2104.798830                 15.973852                   -                           -                         -                           -  
  2105.986757                  1.002177                   -                           -                         -                           -  
  2108.956576                 -1.373276                   -                           -                         -                           -  
  2110.738467                  2.074316                   -                           -                         -                           -  
  2114.896213                  3.135883                   n,a                       0.0026                     194Ir                   69408.0 
  2117.866031                  2.188574                   -                           -                         -                           -  
  2120.241886                 17.485857                   -                           -                         -                           -  
  2123.211704                  3.650582                   -                           -                         -                           -  
  2124.993595                  4.450237                   -                           -                         -                           -  
  2128.557377                  5.883384                   -                           -                         -                           -  
  2130.933232                  7.650031                   -                           -                         -                           -  
  2133.903050                  2.416679                   -                           -                         -                           -  
  2138.654760                  2.216669                   -                           -                         -                           -  
  2140.436651                  3.229013                   -                           -                         -                           -  
  2141.624578                  2.187449                   -                           -                         -                           -  
  2145.782324                  1.084294                   -                           -                         -                           -  
  2146.970252                  2.946754                   -                           -                         -                           -  
  2149.346106                  2.315585                   -                           -                         -                           -  
  2151.721961                  2.368275                   -                           -                         -                           -  
  2154.691779                  2.109139                   -                           -                         -                           -  
  2157.661598                  8.390501                   -                           -                         -                           -  
  2159.443489                  1.130167                   -                           -                         -                           -  
  2162.413307                  1.522561                   -                           -                         -                           -  
  2164.195198                  2.285298                   -                           -                         -                           -  
  2165.977089                  2.650655                   -                           -                         -                           -  
  2167.758980                  4.226658                   -                           -                         -                           -  
  2171.916726                  2.573924                   -                           -                         -                           -  
  2174.886545                 -0.383309                   -                           -                         -                           -  
  2177.262399                  7.211917                   -                           -                         -                           -  
  2179.638254                  4.254765                   -                           -                         -                           -  
  2183.202036                  7.234129                   -                           -                         -                           -  
  2187.953746                  1.797972                   -                           -                         -                           -  
  2189.735637                  1.098560                   -                           -                         -                           -  
  2191.517528                  5.384960                   -                           -                         -                           -  
  2193.893382                  2.514080                   -                           -                         -                           -  
  2196.863201                  1.522169                   -                           -                         -                           -  
  2198.645092                  2.840723                   -                           -                         -                           -  
  2199.833019                  3.169130                   -                           -                         -                           -  
  2202.802838                  0.358199                   -                           -                         -                           -  
  2205.178692                 26.257044                   -                           -                         -                           -  
  2206.960583                  3.873133                   -                           -                         -                           -  
  2209.336438                 -0.298323                   -                           -                         -                           -  
  2212.306257                  0.478656                   -                           -                         -                           -  
  2215.276075                  4.385531                  n,4n                       0.1720                     194Au                  136872.0 
  2217.651930                  1.569198                   -                           -                         -                           -  
  2219.433821                  2.523066                   -                           -                         -                           -  
  2221.215712                  4.009885                   -                           -                         -                           -  
  2224.779494                  2.169962                   -                           -                         -                           -  
  2226.561385                  6.667765                   -                           -                         -                           -  
  2229.531203                  6.957319                   -                           -                         -                           -  
  2232.501022                  4.701741                   -                           -                         -                           -  
  2234.876877                  9.050118                   -                           -                         -                           -  
  2236.658768                  5.862153                   -                           -                         -                           -  
  2239.628586                  6.371901                   -                           -                         -                           -  
  2243.192368                  1.387264                   -                           -                         -                           -  
  2244.380295                  0.118351                   -                           -                         -                           -  
  2247.944078                  1.650562                   -                           -                         -                           -  
