Přírodní isotopické složení: 100% 197Au,,,,,,,,,,,,,,,,,,,,,,
M=,196.966569,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Id,Reakce,Prah (keV),Isotop,Poločas (d),Poločas (s),Chyba T1/2 (d),Chyba T1/2 (s),Lambda,Energie (keV),Chyba energie (keV),Intenzita (%),Chyba intenzity (%),S (plocha peaku),Chyba plochy (%),Abs. Chyba plochy,Efektivita,Nr,Rr,Chyba Rr,A,Rr/Chyba Rr,Column 1/Chyba Rr
8,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,204.1,0.06,40.8,2.3,,,,,,,,,,
41,(n>3n),14789.5,195Au,186.09,16078176,0,0,4.3111058154852E-08,211.407,0.002,0.0109,0.0011,,,,,,,,,,
108,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,211.407,0.002,0.0389,0.0019,,,,,,,,,,
9,(n>g),0,198Au*m,2.27,196128,0,0,3.53415718591912E-06,214.841,0.003,77,,,,,,,,,,,
80,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,230.5,0.7,0.5,0.05,,,,,,,,,,
81,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,232.18,0.06,0.5,0.05,,,,,,,,,,
107,(n>T)/(n>p+2n),5249.919,195Pt*m,4.02,347328,0,0,1.99565592339214E-06,239.261,0.005,0.054,0.003,,,,,,,,,,
89,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,251.4,0.5,0.24,0.11,,,,,,,,,,
70,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,255.57,0.04,6.2,0.5,,,,,,,,,,
92,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,259.05,0.06,0.19,0.08,,,,,,,,,,
43,(n>3n),14789.5,195Au*m,0.0003530093,30.5,0,0,0.0227261371,261.75,0.04,68,0,,,,,,,,,,
32,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,264,0.5,1.3,0,,,,,,,,,,
71,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,268.22,0.05,3.6,0.3,,,,,,,,,,
102,(n>p),0,197Pt,0.8288125,71609.4,0,0,9.67955576446591E-06,268.78,0.05,0.231,0.022,,,,,,,,,,
75,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,269.84,0.05,0.78,0.16,,,,,,,,,,
94,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,281.76,0.1,0.146,0.024,,,,,,,,,,
29,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,285.49,0.07,4.3,0,,,,,,,,,,
49,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,293.545,0.013,10.4,0.6,,,,,,,,,,
116,(n>a),0,194Ir,0.8033333333,69408,0,0,9.98656034693328E-06,293.545,0.013,2.52,9,,,,,,,,,,
88,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,303.41,0.07,0.25,0.07,,,,,,,,,,
30,(n>2n),8113.71,196Au*m2,0.4,34560,0,0,2.0056342030091E-05,316.19,0.05,2.89,0,,,,,,,,,,
90,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,317.73,0.07,0.22,0.05,,,,,,,,,,
46,(n>3n),14789.5,195Au*m,0.0003530093,30.5,0,0,0.0227261371,318.6,0.1,0.0422,0.002,,,,,,,,,,
128,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,324,5,2,,,,,,,,,,,
87,(n>5n),30174.08,193Au,0.7354166667,63540,0,0,1.09088319257152E-05,324.89,0.05,0.32,0.06,,,,,,,,,,
15,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,326.349,0.004,0.05,0.011,,,,,,,,,,
48,(n>4n),23260.3,194Au,1.5841666667,136872,0,0,5.06419998655638E-06,328.455,0.011,61,3,,,,,,,,,,
115,(n>a),0,194Ir,0.8033333333,69408,0,0,9.98656034693328E-06,328.455,0.011,13.1,4,,,,,,,,,,
119,(n>a),0,194Ir*m2,171,14774400,0,0,4.69154199534293E-08,328.455,0.011,93,5,,,,,,,,,,
11,(n>2n),8113.71,196Au,6.183,534211.2,0,0,1.29751525344273E-06,332.983,0.024,22.9,0.5,,,,,,,,,,
