# exported by xylib from a canberra_cnf file

### block #0 3Au103p5
# date and time: Sat, 2016-01-30 11:59:51
# description: 3Au103p5
# energy calib 0: -1.396389
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 13998.69
# real time (s): 14089.04
# column_1	column_2
-0.802425	0.000000
-0.208461	5.000000
0.385502	89.000000
0.979466	12.000000
1.573430	4.000000
2.167393	0.000000
2.761357	262.000000
3.355321	1955.000000
3.949284	2414.000000
4.543248	2446.000000
5.137212	2872.000000
5.731176	4394.000000
6.325139	6211.000000
6.919103	7750.000000
7.513067	5461.000000
8.107030	3341.000000
8.700994	2866.000000
9.294958	2769.000000
9.888921	3018.000000
10.482885	2131.000000
11.076849	2084.000000
11.670812	2103.000000
12.264776	2128.000000
12.858740	1977.000000
13.452703	2014.000000
14.046667	2025.000000
14.640631	2036.000000
15.234594	2047.000000
15.828558	1974.000000
16.422522	1938.000000
17.016486	1993.000000
17.610449	1949.000000
18.204413	1960.000000
18.798377	1977.000000
19.392340	1917.000000
19.986304	1987.000000
20.580268	2098.000000
21.174231	2452.000000
21.768195	2408.000000
22.362159	2091.000000
22.956122	1949.000000
23.550086	2021.000000
24.144050	2153.000000
24.738013	2123.000000
25.331977	2115.000000
25.925941	2184.000000
26.519904	2171.000000
27.113868	2094.000000
27.707832	2055.000000
28.301795	2194.000000
28.895759	2076.000000
29.489723	2126.000000
30.083687	2144.000000
30.677650	2212.000000
31.271614	2295.000000
31.865578	2276.000000
32.459541	2489.000000
33.053505	2527.000000
33.647469	2405.000000
34.241432	2399.000000
34.835396	2445.000000
35.429360	2496.000000
36.023323	2655.000000
36.617287	3052.000000
37.211251	3615.000000
37.805214	5272.000000
38.399178	6279.000000
38.993142	6749.000000
39.587105	4852.000000
40.181069	4207.000000
40.775033	4751.000000
41.368997	5308.000000
41.962960	6047.000000
42.556924	6542.000000
43.150888	7115.000000
43.744851	7688.000000
44.338815	8419.000000
44.932779	8909.000000
45.526742	10076.000000
46.120706	10378.000000
46.714670	13070.000000
47.308633	58314.000000
47.902597	217673.000000
48.496561	328863.000000
49.090524	369236.000000
49.684488	108082.000000
50.278452	24260.000000
50.872415	18299.000000
51.466379	7253.000000
52.060343	5276.000000
52.654306	5091.000000
53.248270	4851.000000
53.842234	5249.000000
54.436198	12449.000000
55.030161	73821.000000
55.624125	119898.000000
56.218089	50248.000000
56.812052	68162.000000
57.406016	53818.000000
57.999980	11028.000000
58.593943	4375.000000
59.187907	4338.000000
59.781871	3045.000000
60.375834	2709.000000
60.969798	2764.000000
61.563762	2721.000000
62.157725	2780.000000
62.751689	2940.000000
63.345653	3050.000000
63.939616	3056.000000
64.533580	2992.000000
65.127544	3128.000000
65.721507	3111.000000
66.315471	3000.000000
66.909435	3085.000000
67.503399	3261.000000
68.097362	3226.000000
68.691326	3234.000000
69.285290	3204.000000
69.879253	3357.000000
70.473217	3359.000000
71.067181	3364.000000
71.661144	3786.000000
72.255108	5912.000000
72.849072	7843.000000
73.443035	4972.000000
74.036999	4889.000000
74.630963	10657.000000
75.224926	10304.000000
75.818890	4645.000000
76.412854	3864.000000
77.006817	4535.000000
77.600781	3966.000000
78.194745	3546.000000
78.788709	3913.000000
79.382672	7297.000000
79.976636	8832.000000
80.570600	4891.000000
81.164563	3767.000000
81.758527	3729.000000
82.352491	3813.000000
82.946454	3951.000000
83.540418	4250.000000
84.134382	6098.000000
84.728345	7361.000000
85.322309	5831.000000
85.916273	4152.000000
86.510236	4431.000000
87.104200	5046.000000
87.698164	5035.000000
88.292127	4145.000000
88.886091	3924.000000
89.480055	3973.000000
90.074018	3983.000000
90.667982	3994.000000
91.261946	3880.000000
91.855910	3839.000000
92.449873	3976.000000
93.043837	3821.000000
93.637801	3658.000000
94.231764	3384.000000
94.825728	3469.000000
95.419692	3381.000000
96.013655	3346.000000
96.607619	3401.000000
97.201583	3430.000000
97.795546	3427.000000
98.389510	3744.000000
98.983474	5316.000000
99.577437	5315.000000
100.171401	3702.000000
100.765365	3151.000000
101.359328	3172.000000
101.953292	3182.000000
102.547256	3123.000000
103.141219	3294.000000
103.735183	3236.000000
104.329147	3248.000000
104.923111	3418.000000
105.517074	3655.000000
106.111038	3802.000000
106.705002	3524.000000
107.298965	3305.000000
107.892929	3241.000000
108.486893	3162.000000
109.080856	3381.000000
109.674820	3373.000000
110.268784	3324.000000
110.862747	3363.000000
111.456711	3358.000000
112.050675	3534.000000
112.644638	3605.000000
113.238602	3566.000000
113.832566	3725.000000
114.426529	3813.000000
115.020493	3803.000000
115.614457	3926.000000
116.208421	3845.000000
116.802384	3918.000000
117.396348	4079.000000
117.990312	4011.000000
118.584275	4028.000000
119.178239	3946.000000
119.772203	4114.000000
120.366166	4005.000000
120.960130	3875.000000
121.554094	4008.000000
122.148057	3977.000000
122.742021	3895.000000
123.335985	3823.000000
123.929948	3961.000000
124.523912	3830.000000
125.117876	3816.000000
125.711839	3793.000000
126.305803	3787.000000
126.899767	3878.000000
127.493730	3706.000000
128.087694	3785.000000
128.681658	3792.000000
129.275622	3724.000000
129.869585	3678.000000
130.463549	3579.000000
131.057513	3587.000000
131.651476	3542.000000
132.245440	3382.000000
132.839404	3401.000000
133.433367	3447.000000
134.027331	3471.000000
134.621295	3490.000000
135.215258	3345.000000
135.809222	3313.000000
136.403186	3411.000000
136.997149	3215.000000
137.591113	3281.000000
138.185077	3281.000000
138.779040	3112.000000
139.373004	3175.000000
139.966968	3112.000000
140.560932	3156.000000
141.154895	3171.000000
