# exported by xylib from a canberra_cnf file

### block #0 3Au103p5
# date and time: Mon, 2016-02-08 14:00:11
# description: 3Au103p5
# energy calib 0: -1.396389
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 71557.49
# real time (s): 71919.51
# column_1	column_2
-0.802425	0.000000
-0.208461	22.000000
0.385502	914.000000
0.979466	119.000000
1.573430	48.000000
2.167393	35.000000
2.761357	1994.000000
3.355321	7476.000000
3.949284	7873.000000
4.543248	7974.000000
5.137212	8220.000000
5.731176	8111.000000
6.325139	8539.000000
6.919103	8859.000000
7.513067	9792.000000
8.107030	16542.000000
8.700994	21429.000000
9.294958	18129.000000
9.888921	31407.000000
10.482885	27032.000000
11.076849	13846.000000
11.670812	10830.000000
12.264776	11479.000000
12.858740	10066.000000
13.452703	8730.000000
14.046667	8235.000000
14.640631	8198.000000
15.234594	8249.000000
15.828558	8043.000000
16.422522	7723.000000
17.016486	7671.000000
17.610449	7407.000000
18.204413	7527.000000
18.798377	7325.000000
19.392340	7465.000000
19.986304	7404.000000
20.580268	7391.000000
21.174231	7680.000000
21.768195	7703.000000
22.362159	7308.000000
22.956122	7281.000000
23.550086	7383.000000
24.144050	7435.000000
24.738013	7559.000000
25.331977	7556.000000
25.925941	7530.000000
26.519904	7427.000000
27.113868	7344.000000
27.707832	7256.000000
28.301795	7317.000000
28.895759	7416.000000
29.489723	7364.000000
30.083687	7625.000000
30.677650	8046.000000
31.271614	7556.000000
31.865578	7554.000000
32.459541	7380.000000
33.053505	7384.000000
33.647469	7478.000000
34.241432	7472.000000
34.835396	7556.000000
35.429360	7417.000000
36.023323	7471.000000
36.617287	7699.000000
37.211251	7576.000000
37.805214	7403.000000
38.399178	7631.000000
38.993142	7640.000000
39.587105	7821.000000
40.181069	7612.000000
40.775033	7851.000000
41.368997	8029.000000
41.962960	7995.000000
42.556924	8137.000000
43.150888	8263.000000
43.744851	8291.000000
44.338815	8350.000000
44.932779	8740.000000
45.526742	9115.000000
46.120706	10020.000000
46.714670	10036.000000
