# exported by xylib from a canberra_cnf file

### block #0 3Au103p5
# date and time: Sun, 2016-01-31 22:20:19
# description: 3Au103p5
# energy calib 0: -1.396389
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 11271.49
# real time (s): 11353.08
# column_1	column_2
-0.802425	1.000000
-0.208461	5.000000
0.385502	64.000000
0.979466	10.000000
1.573430	1.000000
2.167393	2.000000
2.761357	291.000000
3.355321	2138.000000
3.949284	2325.000000
4.543248	2387.000000
5.137212	2508.000000
5.731176	2624.000000
6.325139	2564.000000
6.919103	2985.000000
7.513067	3260.000000
8.107030	5641.000000
8.700994	7833.000000
9.294958	5619.000000
9.888921	9097.000000
10.482885	9696.000000
11.076849	5258.000000
11.670812	3761.000000
12.264776	3971.000000
12.858740	3502.000000
13.452703	3051.000000
14.046667	2857.000000
14.640631	2797.000000
15.234594	2684.000000
15.828558	2768.000000
16.422522	2515.000000
17.016486	2480.000000
17.610449	2507.000000
18.204413	2542.000000
18.798377	2499.000000
19.392340	2486.000000
19.986304	2434.000000
20.580268	2436.000000
21.174231	2659.000000
21.768195	2560.000000
22.362159	2482.000000
22.956122	2566.000000
23.550086	2360.000000
24.144050	2603.000000
24.738013	2562.000000
25.331977	2502.000000
25.925941	2535.000000
26.519904	2552.000000
27.113868	2560.000000
27.707832	2571.000000
28.301795	2613.000000
28.895759	2550.000000
29.489723	2582.000000
30.083687	2651.000000
30.677650	2675.000000
31.271614	2720.000000
31.865578	2628.000000
32.459541	2625.000000
33.053505	2672.000000
33.647469	2610.000000
34.241432	2507.000000
34.835396	2618.000000
35.429360	2590.000000
36.023323	2607.000000
36.617287	2766.000000
37.211251	2629.000000
37.805214	2648.000000
38.399178	2667.000000
38.993142	2777.000000
39.587105	2698.000000
40.181069	2745.000000
40.775033	2750.000000
41.368997	2669.000000
41.962960	2785.000000
42.556924	2839.000000
43.150888	2894.000000
43.744851	2830.000000
44.338815	2907.000000
44.932779	2928.000000
45.526742	3104.000000
46.120706	3185.000000
46.714670	3239.000000
47.308633	3155.000000
47.902597	3191.000000
48.496561	3300.000000
49.090524	3311.000000
49.684488	3469.000000
50.278452	3447.000000
50.872415	3590.000000
51.466379	3873.000000
52.060343	3920.000000
52.654306	4382.000000
53.248270	4712.000000
53.842234	4866.000000
54.436198	5346.000000
55.030161	5876.000000
55.624125	5826.000000
56.218089	5916.000000
56.812052	6413.000000
57.406016	6102.000000
57.999980	5966.000000
58.593943	5976.000000
59.187907	6213.000000
59.781871	6114.000000
60.375834	6177.000000
60.969798	6238.000000
61.563762	6211.000000
62.157725	6352.000000
62.751689	6408.000000
63.345653	6819.000000
63.939616	11253.000000
64.533580	58566.000000
65.127544	112955.000000
65.721507	54038.000000
66.315471	117786.000000
66.909435	189987.000000
67.503399	59028.000000
68.097362	13657.000000
68.691326	21439.000000
69.285290	13376.000000
69.879253	5959.000000
70.473217	8048.000000
71.067181	8238.000000
71.661144	5253.000000
72.255108	6639.000000
72.849072	8259.000000
73.443035	5900.000000
74.036999	6339.000000
74.630963	18680.000000
75.224926	52905.000000
75.818890	59092.000000
76.412854	20526.000000
77.006817	10912.000000
77.600781	22982.000000
78.194745	21575.000000
78.788709	7924.000000
79.382672	4793.000000
79.976636	6203.000000
80.570600	5554.000000
81.164563	4167.000000
81.758527	3688.000000
82.352491	3951.000000
82.946454	3924.000000
83.540418	3962.000000
84.134382	4955.000000
84.728345	6483.000000
85.322309	5425.000000
85.916273	3893.000000
86.510236	3992.000000
87.104200	4777.000000
87.698164	4566.000000
88.292127	3771.000000
88.886091	3615.000000
89.480055	3671.000000
90.074018	3679.000000
90.667982	3693.000000
91.261946	3445.000000
91.855910	3567.000000
92.449873	3677.000000
93.043837	3748.000000
93.637801	3700.000000
94.231764	3579.000000
94.825728	3657.000000
95.419692	3559.000000
96.013655	3627.000000
96.607619	3600.000000
97.201583	3725.000000
97.795546	3793.000000
98.389510	5219.000000
98.983474	6941.000000
99.577437	4682.000000
100.171401	3821.000000
100.765365	3718.000000
101.359328	3691.000000
101.953292	3752.000000
102.547256	3742.000000
103.141219	3660.000000
103.735183	3793.000000
104.329147	3608.000000
104.923111	3781.000000
105.517074	3851.000000
106.111038	3769.000000
106.705002	3782.000000
107.298965	3827.000000
107.892929	3889.000000
108.486893	3879.000000
109.080856	3798.000000
109.674820	3866.000000
110.268784	3807.000000
110.862747	3734.000000
111.456711	3758.000000
112.050675	3722.000000
112.644638	3938.000000
113.238602	3913.000000
113.832566	3886.000000
114.426529	3840.000000
115.020493	3947.000000
115.614457	3829.000000
116.208421	3776.000000
116.802384	3788.000000
117.396348	3940.000000
117.990312	3842.000000
118.584275	3850.000000
119.178239	3931.000000
119.772203	3845.000000
120.366166	3822.000000
120.960130	3886.000000
121.554094	3800.000000
122.148057	3779.000000
122.742021	3827.000000
123.335985	3855.000000
123.929948	3977.000000
124.523912	3923.000000
125.117876	3853.000000
125.711839	3897.000000
126.305803	3852.000000
126.899767	3992.000000
127.493730	3891.000000
128.087694	3826.000000
128.681658	3782.000000
129.275622	4043.000000
129.869585	4121.000000
130.463549	3972.000000
131.057513	3950.000000
131.651476	4123.000000
132.245440	4145.000000
132.839404	3940.000000
133.433367	4126.000000
134.027331	4233.000000
134.621295	3982.000000
135.215258	3933.000000
135.809222	4034.000000
136.403186	3876.000000
136.997149	3920.000000
137.591113	3908.000000
138.185077	3890.000000
138.779040	3971.000000
139.373004	3935.000000
139.966968	3928.000000
140.560932	3996.000000
141.154895	3928.000000
141.748859	4036.000000
142.342823	4106.000000
142.936786	4158.000000
143.530750	3956.000000
144.124714	3985.000000
144.718677	4226.000000
145.312641	4185.000000
145.906605	4230.000000
146.500568	4086.000000
147.094532	4287.000000
147.688496	4549.000000
148.282459	4537.000000
148.876423	4383.000000
149.470387	4397.000000
150.064350	4463.000000
150.658314	4544.000000
151.252278	4577.000000
151.846241	4602.000000
152.440205	4587.000000
153.034169	4639.000000
153.628133	4560.000000
154.222096	4723.000000
154.816060	4595.000000
155.410024	4662.000000
156.003987	4669.000000
156.597951	4677.000000
157.191915	4667.000000
157.785878	4768.000000
158.379842	4689.000000
158.973806	4931.000000
159.567769	4889.000000
160.161733	4802.000000
160.755697	4920.000000
161.349660	4836.000000
161.943624	4782.000000
162.537588	4753.000000
163.131551	4863.000000
163.725515	4873.000000
164.319479	4743.000000
164.913442	4827.000000
165.507406	4764.000000
166.101370	4782.000000
166.695334	4852.000000
167.289297	4752.000000
167.883261	4886.000000
168.477225	4850.000000
169.071188	4642.000000
169.665152	4729.000000
170.259116	4664.000000
170.853079	4596.000000
171.447043	4708.000000
172.041007	4500.000000
172.634970	4775.000000
173.228934	4652.000000
173.822898	4609.000000
174.416861	4746.000000
175.010825	4644.000000
175.604789	4495.000000
176.198752	4631.000000
176.792716	4624.000000
177.386680	4658.000000
177.980644	4675.000000
178.574607	4674.000000
179.168571	4583.000000
179.762535	4632.000000
180.356498	4520.000000
180.950462	4563.000000
181.544426	4463.000000
182.138389	4450.000000
182.732353	4473.000000
183.326317	4561.000000
183.920280	4507.000000
184.514244	4489.000000
185.108208	4439.000000
185.702171	4606.000000
186.296135	4534.000000
186.890099	4358.000000
187.484062	4420.000000
188.078026	4439.000000
188.671990	4359.000000
189.265953	4304.000000
189.859917	4288.000000
190.453881	4275.000000
191.047845	4260.000000
191.641808	4246.000000
192.235772	4195.000000
192.829736	4173.000000
193.423699	4090.000000
194.017663	4078.000000
194.611627	4059.000000
195.205590	3960.000000
195.799554	4042.000000
196.393518	4061.000000
196.987481	3987.000000
197.581445	3989.000000
198.175409	4045.000000
198.769372	4033.000000
199.363336	4066.000000
199.957300	3976.000000
200.551263	3977.000000
201.145227	3943.000000
201.739191	3912.000000
202.333154	3906.000000
202.927118	3731.000000
203.521082	3821.000000
204.115046	3847.000000
204.709009	3817.000000
205.302973	3854.000000
205.896937	3658.000000
206.490900	3530.000000
207.084864	3506.000000
207.678828	3402.000000
208.272791	3452.000000
208.866755	3320.000000
209.460719	3325.000000
210.054682	3138.000000
210.648646	3081.000000
211.242610	3140.000000
211.836573	2881.000000
212.430537	3022.000000
213.024501	2975.000000
213.618464	2966.000000
214.212428	3033.000000
214.806392	2937.000000
215.400356	2911.000000
215.994319	2849.000000
216.588283	2785.000000
217.182247	2894.000000
217.776210	2804.000000
218.370174	2790.000000
218.964138	2776.000000
219.558101	2674.000000
220.152065	2768.000000
220.746029	2657.000000
221.339992	2730.000000
221.933956	2725.000000
222.527920	2630.000000
223.121883	2717.000000
