# exported by xylib from a canberra_cnf file

### block #0 3Au103p5
# date and time: Fri, 2016-01-29 13:23:27
# description: 3Au103p5
# energy calib 0: -1.396389
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 11251.35
# real time (s): 11356.92
# column_1	column_2
-0.802425	0.000000
-0.208461	4.000000
0.385502	55.000000
0.979466	29.000000
1.573430	39.000000
2.167393	26.000000
2.761357	194.000000
3.355321	2910.000000
3.949284	3636.000000
4.543248	3676.000000
5.137212	3823.000000
5.731176	3960.000000
6.325139	4067.000000
6.919103	4302.000000
7.513067	4883.000000
8.107030	8420.000000
8.700994	12990.000000
9.294958	9037.000000
9.888921	12795.000000
10.482885	16268.000000
11.076849	8866.000000
11.670812	5588.000000
12.264776	6076.000000
12.858740	5332.000000
13.452703	4665.000000
14.046667	4300.000000
14.640631	4295.000000
15.234594	4304.000000
15.828558	4013.000000
16.422522	4185.000000
17.016486	4177.000000
17.610449	4064.000000
18.204413	4055.000000
18.798377	3889.000000
19.392340	3955.000000
19.986304	3964.000000
20.580268	3916.000000
21.174231	4070.000000
21.768195	4078.000000
22.362159	3901.000000
22.956122	3904.000000
23.550086	3859.000000
24.144050	3915.000000
24.738013	3979.000000
25.331977	3957.000000
25.925941	3992.000000
26.519904	3965.000000
27.113868	3994.000000
27.707832	4062.000000
28.301795	4006.000000
28.895759	4157.000000
29.489723	4009.000000
30.083687	4273.000000
30.677650	4125.000000
31.271614	4094.000000
31.865578	4072.000000
32.459541	4202.000000
33.053505	4210.000000
33.647469	4164.000000
34.241432	4071.000000
34.835396	4038.000000
35.429360	4067.000000
36.023323	4183.000000
36.617287	4190.000000
37.211251	4107.000000
37.805214	4199.000000
38.399178	4218.000000
38.993142	4368.000000
39.587105	4321.000000
40.181069	4303.000000
40.775033	4272.000000
41.368997	4358.000000
41.962960	4209.000000
42.556924	4423.000000
43.150888	4559.000000
43.744851	4505.000000
44.338815	4497.000000
44.932779	4678.000000
45.526742	4750.000000
46.120706	4911.000000
46.714670	4795.000000
47.308633	4908.000000
47.902597	5023.000000
48.496561	5108.000000
49.090524	5401.000000
49.684488	5417.000000
50.278452	5457.000000
50.872415	5499.000000
51.466379	5778.000000
52.060343	6132.000000
52.654306	6537.000000
53.248270	6967.000000
53.842234	7385.000000
54.436198	7745.000000
55.030161	8438.000000
55.624125	8577.000000
56.218089	8937.000000
56.812052	9709.000000
57.406016	9081.000000
57.999980	9131.000000
58.593943	9111.000000
59.187907	9303.000000
59.781871	9208.000000
60.375834	9267.000000
60.969798	9275.000000
61.563762	9574.000000
62.157725	9470.000000
